English Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Pali,Sanskrit,Synonyms
Non-Aversion,non-aversion,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635920ddb0384d2a46f71f,false,false,Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Adosa,Adveṣa,
Non-greed,non-greed,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635920266409e3feb8d3ac,false,false,Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Alobha,Alobha,
Not-Self,not-self,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592ae7611ac123ba667a,false,false,Fri Jun 07 2024 19:02:02 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:02 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Anattā,Anātman,
One-pointedness,one-pointedness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592e344c04c58f0ef8f7,false,false,Fri Jun 07 2024 19:02:06 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:06 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Ekaggatā,Ekāgratā,
Patience,patience,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635920bdf04ada700ab95d,false,false,Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Khanti,Kṣānti,
Perception,perception,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592629cdb02d28fbd07c,false,false,Fri Jun 07 2024 19:01:58 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:58 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Saññā,Saṃjñā,
Proficiency,proficiency,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359209fe35cfa5a647007,false,false,Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Pāguññatā,Pāṭava,
Rectitude,rectitude,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359215cbd3f84c64f4a7c,false,false,Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Ujukatā,Ūrjitatā,
Restlessness,restlessness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635921d4cc688330469603,false,false,Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Uddhacca,Auddhatya,
Right Action,right-action,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591dba38f13a21553c88,false,false,Fri Jun 07 2024 19:01:49 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:49 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sammā Kammanta,Samyak-Karma,
Right Concentration,right-concentration,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591e7cb60a0c89ea9bc5,false,false,Fri Jun 07 2024 19:01:50 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:50 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sammā-Samādhi,Samyak-Samādhi,
Right Effort,right-effort,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591dd29a9c2efae9a9c0,false,false,Fri Jun 07 2024 19:01:49 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:49 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sammā-Vāyāma,Samyak-Vyāyāma,
Right Intention,right-intention,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591dfa8b3caaed25a936,false,false,Fri Jun 07 2024 19:01:49 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:49 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sammā Saṅkappa,Samyak-Saṃkalpa,
Right Lifestyle,right-lifestyle,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591dccbf3b3b557bfc71,false,false,Fri Jun 07 2024 19:01:49 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:49 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sammā-Ājīva,Samyak-Ājīva,
Right Mindfulness,right-mindfulness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591d64fb23eb715c4678,false,false,Fri Jun 07 2024 19:01:49 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:49 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sammā-Sati,Samyak-Smṛti,
Right Speech,right-speech,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591d1e3bbb4ff00d73c2,false,false,Fri Jun 07 2024 19:01:49 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:49 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sammāvācā,Samyag-Vāk,
Right View,right-view,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591c09c4963f1cde501f,false,false,Fri Jun 07 2024 19:01:48 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:48 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sammā Diṭṭhi,Samyag-Dṛṣṭi,
